File name,Levels,Sample Rate,Sum of Coefficients,DTW,Gender,Duration,DurationDiff
original.wav,baseline,44100,-48016.39133,0,F,2.675464853,0
a0.wav,Level-0,44100,-118125.9327,238.9942716,F,3.152131519,0.476666667
a1.wav,Level-1,44100,-151284.2784,289.2041607,F,4.412970522,1.737505669
a2.wav,Level-2,44100,-213323.6029,283.1964498,F,5.397052154,2.721587302
a3.wav,Level-3,44100,-257405.7562,292.4805221,F,7.857256236,5.181791383
a4.wav,Level-4,44100,-315343.8876,309.3434379,F,8.749070295,6.073605442
